Rut Compañía;Compañía;Tipo;N° Patente;Marca;Modelo;Año;Color;Tipo de Siniestro/Perdida;Estado;Tipo operación;Fecha Operación;Monto Percibido M$
76061223-5;ZENIT SEGUROS GENERALES;7;BDWL 15;TOYOTA;FJ CRUISER 4X4 4.0 AUT;2008;BLANCO ROJO MICA;2;3;1;23-11-2016;4400
76061223-5;ZENIT SEGUROS GENERALES;1;BPFC 87;CHEVROLET;SPARK LT HB 1.0;2008;PLATEADO POLY;2;3;1;22-11-2016;1300
76061223-5;ZENIT SEGUROS GENERALES;1;BWJG 74;TOYOTA;YARIS SPORT XLI 1.3;2009;PLATEADO SILVER MICA;2;3;1;22-11-2016;1750
76061223-5;ZENIT SEGUROS GENERALES;1;BYZW 85;SUZUKI;MARUTI;2009;BEIGE CLARO;1;1;1;27-10-2016;400
76061223-5;ZENIT SEGUROS GENERALES;1;CVKY 95;HYUNDAI;VERACRUZ GLS CRDI 4X4 3.0 AUT;2011;NEGRO;2;3;1;22-11-2016;4700
76061223-5;ZENIT SEGUROS GENERALES;1;CWXK 78;CHEVROLET;SAIL LS PWR 1.4;2011;BLANCO;2;3;1;23-11-2016;1800
76061223-5;ZENIT SEGUROS GENERALES;1;DSSF 72;CHEVROLET;OPTRA LS 1.6;2012;GRIS OSCURO METALICO;2;3;1;27-10-2016;1900
76061223-5;ZENIT SEGUROS GENERALES;1;DTTD 99;HONDA;ACCORD 3.5 AUT;2013;GRIS PLATA;2;3;1;09-11-2016;4000
76061223-5;ZENIT SEGUROS GENERALES;1;DWWR 92;MERCEDES BENZ;C180 CGI BLUE EFFICIENCY;2012;GRIS;2;3;1;22-11-2016;4400
76061223-5;ZENIT SEGUROS GENERALES;1;DZZZ 45;KIA MOTORS;MORNING EX 1.2;2013;BLANCO INVIERNO;2;3;1;30-11-2016;2300
76061223-5;ZENIT SEGUROS GENERALES;1;FBDT 71;CHEVROLET;SPARK GT HB 1.2;2012;AZUL DEPORTIVO;2;3;1;23-11-2016;1100
76061223-5;ZENIT SEGUROS GENERALES;2;FBDX 60;NISSAN;TERRANO DX D CAB;2012;BLANCO;2;3;1;23-11-2016;1900
76061223-5;ZENIT SEGUROS GENERALES;2;FCZC 51;SSANGYONG;ACTYON SPORT 2.0;2012;PLATEADO;2;3;1;09-11-2016;4800
76061223-5;ZENIT SEGUROS GENERALES;1;FKYG 51;MERCEDES BENZ;A200 BLUEEFFICIENCY;2013;BLANCO;2;3;1;08-11-2016;8350
76061223-5;ZENIT SEGUROS GENERALES;1;FRPV 22;SAMSUNG;SM3 1.6 AT;2014;BLANCO;2;3;1;15-11-2016;2300
76061223-5;ZENIT SEGUROS GENERALES;1;FXWG 14;CHEVROLET;AVEO LS 1.4;2013;GRIS METALICO;2;3;1;30-11-2016;2100
76061223-5;ZENIT SEGUROS GENERALES;7;GDFW 67;PEUGEOT;PARTNER HDI 1.6;2014;BLANCO BANQUISE;2;3;1;08-11-2016;2400
76061223-5;ZENIT SEGUROS GENERALES;7;GKYY 39;PEUGEOT;PARTNER HDI 1.6;2014;BLANCO BANQUISE;2;3;1;09-11-2016;2200
76061223-5;ZENIT SEGUROS GENERALES;7;GLBY 85;PEUGEOT;PARTNER VU HDI 1.6;2014;BLANCO BANQUISE;2;3;1;09-11-2016;3200
76061223-5;ZENIT SEGUROS GENERALES;7;GSYH 80;FIAT;FIORINO CITY 1.2;2014;BLANCO BANCHISA;2;3;1;22-11-2016;2950
76061223-5;ZENIT SEGUROS GENERALES;1;GVVB 42;VOLKSWAGEN;TIGUAN TSI 4X4 2.0 AUT;2015;PLATEADO PLATA METAL;2;3;1;22-11-2016;4000
76061223-5;ZENIT SEGUROS GENERALES;1;HDHS 66;RENAULT;SYMBOL EXPRESSION 1.6;2016;GRIS PLATINO;2;3;1;22-11-2016;2250
76061223-5;ZENIT SEGUROS GENERALES;2;HDVX 38;CHEVROLET;D MAX II 2.5;2015;PLATEADO PLATA;1;1;1;29-11-2016;6000
76061223-5;ZENIT SEGUROS GENERALES;2;HGVG 16;MITSUBISHI;L200  D CAB 4X4 2.5;2015;ROJO;1;1;1;09-11-2016;3200
76061223-5;ZENIT SEGUROS GENERALES;1;HGWT 31;CHEVROLET;SAIL II 1.4;2015;GRIS PIEDRA;2;3;1;08-11-2016;3050
76061223-5;ZENIT SEGUROS GENERALES;1;HJRD 72;CHEVROLET;SPARK 1.2;2015;BLANCO;2;3;1;29-11-2016;2400
76061223-5;ZENIT SEGUROS GENERALES;1;HVWT 79;SUZUKI;SWIFT GL 1.2;2016;PLATEADO;2;3;1;15-11-2016;4200
76061223-5;ZENIT SEGUROS GENERALES;1;HZYC 87;PEUGEOT;301 ACTIVE HDI 1.6;2017;BLANCO BANQUISE;2;3;1;30-11-2016;6200
76061223-5;ZENIT SEGUROS GENERALES;1;PV 2256;CHRYSLER;GRAND CARAVAN S 2.4;1997;VERDE OSCURO;2;3;1;23-11-2016;900
76061223-5;ZENIT SEGUROS GENERALES;1;WH 3002;SUZUKI;ALTO 1.1;2006;BLANCO;2;3;1;29-11-2016;1300
76061223-5;ZENIT SEGUROS GENERALES;7;XC 5431;SUZUKI;GRAND VITARA 1.6;2004;PLATEADO;2;3;1;22-11-2016;2000
76061223-5;ZENIT SEGUROS GENERALES;1;YH 1099;MERCEDES BENZ;C 180 K;2005;PLATEADO CUBANITA;2;3;1;29-11-2016;2800
76061223-5;ZENIT SEGUROS GENERALES;1;YT 8334;FORD;ECOSPORT XLT;2005;BLANCO;2;3;1;23-11-2016;2100
94510000-1;RENTA NACIONAL;1;BCXZ 21;RENAULT;LATITUDE 2.0;2014;AZUL PIEDRA;2;3;1;15-11-2016;1957
94510000-1;RENTA NACIONAL;1;FBDV 25;TOYOTA;NEW YARIS;2012;PLATEADO SILVER;2;3;1;16-11-2016;2400
94510000-1;RENTA NACIONAL;1;FGHC 67;KIA MOTORS;RIO 3 UB EX 1.4;2013;BLANCO;2;3;1;24-11-2016;2150
94510000-1;RENTA NACIONAL;2;FKFJ 49;TOYOTA;HILUX DCAB TURBO 2.5;2013;BLANCO;2;3;1;03-11-2016;5300
94510000-1;RENTA NACIONAL;2;FSSJ 21;TOYOTA;HILUX D CAB 4X4 2.5;2013;BLANCO;2;3;1;24-11-2016;5000
94510000-1;RENTA NACIONAL;7;FWVF 87;CITROEN;NEMO FG HDI 1.4;2013;BLANCO;2;3;1;03-11-2016;1648
94510000-1;RENTA NACIONAL;2;GCCP 53;FORD;RANGER DCAB XLT 4X4 3.2;2014;GRIS ZINC;2;3;1;15-11-2016;4635
94510000-1;RENTA NACIONAL;7;GHCY 88;FORD;ECOSPORT 1.6;2014;BLANCO;2;3;1;24-11-2016;3400
94510000-1;RENTA NACIONAL;1;GKHX 11;NISSAN;VERSA SENSE 1.6;2014;BLANCO;2;3;1;29-11-2016;2740,5
94510000-1;RENTA NACIONAL;2;GWHJ 83;NISSAN;NAVARA 4X4 2.5;2015;ROJO INTENSO;2;3;1;03-11-2016;3502
94510000-1;RENTA NACIONAL;1;HDJY 20;VOLVO;V40 T4 COMFORT;2015;GRIS OSMIUM;2;3;1;29-11-2016;6700
94510000-1;RENTA NACIONAL;2;HYYR 19;TOYOTA;HILUX TDI 2.4;2016;BLANCO;2;3;1;15-11-2016;7300
94510000-1;RENTA NACIONAL;7;MZ 6059;SCANIA;P94GA;2007;AZUL;2;3;1;08-11-2016;7725
94510000-1;RENTA NACIONAL;7;SH 8730;FREIGHTLINER;FLD 12064 ST;1998;BLANCO;2;3;1;08-11-2016;3605
94510000-1;RENTA NACIONAL;1;TT 6243;TOYOTA;YARIS XLI 1.5;2000;BLANCO;2;3;1;08-11-2016;721
94510000-1;RENTA NACIONAL;2;WE 5614;NISSAN;TERRANO D CAB 4X4 2.5;2006;PLATEADO;2;3;1;24-11-2016;800
94510000-1;RENTA NACIONAL;1;WU 2643;KIA MOTORS;MORNING II EX 1.1 AUT;2007;AZUL;2;3;1;24-11-2016;1300
94510000-1;RENTA NACIONAL;7;WW 5957;HYUNDAI;H1 SV 2.5;2007;BLANCO;2;3;1;08-11-2016;1957
94510000-1;RENTA NACIONAL;7;BFWW 30;MAZDA;CX 7 R 4X4 2.3 AT;2008;BLANCO;2;3;1;25-09-2015;2400
94510000-1;RENTA NACIONAL;2;CGWK 74;SSANGYONG;ACTYON SPORT 4X4 2.0;2010;PLATEADO;2;3;1;27-10-2016;2805
96508210-7;MAPFRE SEGUROS GENERALES;1;BBJX 75;VOLVO;S40 2,4;2008;GRIS TITANIO;2;3;1;23-11-2016;2641
96508210-7;MAPFRE SEGUROS GENERALES;1;BDDK 95;MERCEDES BENZ;E 350;2008;PLATEADO PLATA CUBAN;2;3;1;15-11-2016;3035
96508210-7;MAPFRE SEGUROS GENERALES;7;BLGC 26;MITSUBISHI;L300 2,0;2008;BLANCO;2;3;1;29-11-2016;1212
96508210-7;MAPFRE SEGUROS GENERALES;1;BPGX 22;HONDA;CIVIC EXS 1,8 AUT;2008;BEIGE;2;3;1;22-11-2016;2929
96508210-7;MAPFRE SEGUROS GENERALES;7;BRBB 43;SUZUKI;GRAND VITARA GLX 1,6;2008;PLATEADO PLATA;1;1;1;26-10-2016;910
96508210-7;MAPFRE SEGUROS GENERALES;1;BTCK 79;TOYOTA;YARIS SPORT XLI 1,3;2008;BLANCO;2;3;1;08-11-2016;1264
96508210-7;MAPFRE SEGUROS GENERALES;1;BTLR 94;CITROEN;C4 SX HDI 1,6;2008;GRIS FER;2;3;1;03-11-2016;2474
96508210-7;MAPFRE SEGUROS GENERALES;1;BTTZ 80;MAZDA;2 V 1,5 AT;2008;PLATEADO PLATA;2;3;1;08-11-2016;2580
96508210-7;MAPFRE SEGUROS GENERALES;7;CCRS 77;RENAULT;KANGOO EXPRESS 1,5;2009;BLANCO;2;3;1;23-11-2016;1224
96508210-7;MAPFRE SEGUROS GENERALES;1;CJVW 98;MAZDA;3 S 1,6;2010;BLANCO MICA;2;3;1;15-11-2016;2580
96508210-7;MAPFRE SEGUROS GENERALES;7;CPXL 76;SUZUKI;GRAND VITARA 1,6;2011;BLANCO PERLA;2;3;1;23-11-2016;2529
96508210-7;MAPFRE SEGUROS GENERALES;1;CRYS 27;HYUNDAI;ACCENT GL 1,4;2010;PLATEADO;2;3;1;15-11-2016;1770
96508210-7;MAPFRE SEGUROS GENERALES;7;CTLG 38;FIAT;DOBLO CARGO MAXI MULTIJET 1,3;2011;BLANCO BANCHISA;2;3;1;16-11-2016;1922
